Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;302;68430;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;301.2;62225;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;299.1;48229;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;296.6;34439;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;293.6;24235;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;289.7;13893;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;287.9;10446;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;284.9;6929;0.946
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;304.1;68568;0.809
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;303.1;61949;0.809
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;301.3;48643;0.809
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;299;35611;0.809
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;296.4;23477;0.809
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;293.3;13893;0.809
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;291.7;10446;0.809
Dataset 210;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;288.8;6998;0.809
