Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC3H8
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;274.55;443;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.2;645;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;280.45;956;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;283.65;1452;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;289.25;2638;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;291.05;3607;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;291.32;3799;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;295.15;6630;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;295.71;7306;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;296.91;8276;0.1187
Dataset 657;Final hydrate stability conditions of a methane and propane mixture in the presence of pure water and aqueous solutions of methanol and ethylene glycol;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 47, 295;1989;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;299.35;15216;0.1187
